text,label
the rock is destined to be the st century s new conan and that he s going to make a splash even greater than arnold schwarzenegger jean claud van damme or steven segal,1
the gorgeously elaborate continuation of the lord of the ring trilogy is so huge that a column of word cannot adequately describe co writer director peter jackson s expanded vision of j r r tolkien s middle earth,1
effective but too tepid biopic,1
if you sometimes like to go to the movie to have fun wasabi is a good place to start,1
emerges a something rare an issue movie that s so honest and keenly observed that it doesn t feel like one,1
the film provides some great insight into the neurotic mindset of all comic even those who have reached the absolute top of the game,1
offer that rare combination of entertainment and education,1
perhaps no picture ever made ha more literally showed that the road to hell is paved with good intention,1
steer turn in a snappy screenplay that curl at the edge it s so clever you want to hate it but he somehow pull it off,1
take care of my cat offer a refreshingly different slice of asian cinema,1
this is a film well worth seeing talking and singing head and all,1
what really surprise about wisegirls is it low key quality and genuine tenderness,1
wendigo is why we go to the cinema to be fed through the eye the heart the mind,1
one of the greatest family oriented fantasy adventure movie ever,1
ultimately it ponders the reason we need story so much,1
an utterly compelling who wrote it in which the reputation of the most famous author who ever lived come into question,1
illuminating if overly talky documentary,1
a masterpiece four year in the making,1
the movie s ripe enrapturing beauty will tempt those willing to probe it inscrutable mystery,1
offer a breath of the fresh air of true sophistication,1
a thoughtful provocative insistently humanizing film,1
with a cast that includes some of the top actor working in independent film lovely amazing involves u because it is so incisive so bleakly amusing about how we go about our life,1
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass,1
not for everyone but for those with whom it will connect it s a nice departure from standard moviegoing fare,1
score a few point for doing what it doe with a dedicated and good hearted professionalism,1
occasionally melodramatic it s also extremely effective,1
spiderman rock,1
an idealistic love story that brings out the latent year old romantic in everyone,1
at about minute treasure planet maintains a brisk pace a it race through the familiar story however it lack grandeur and that epic quality often associated with stevenson s tale a well a with earlier disney effort,1
it help that lil bow wow tone down his pint sized gangsta act to play someone who resembles a real kid,1
guaranteed to move anyone who ever shook rattled or rolled,1
a masterful film from a master filmmaker unique in it deceptive grimness compelling in it fatalist worldview,1
light cute and forgettable,1
if there s a way to effectively teach kid about the danger of drug i think it s in project like the unfortunately r rated paid,1
while it would be easy to give crush the new title of two wedding and a funeral it s a far more thoughtful film than any slice of hugh grant whimsy,1
though everything might be literate and smart it never took off and always seemed static,1
